05:13:30 [DefaultDispatcher-worker-2] SdkWalletBinder - address-window heal v2 applied on 65384bdf…: gaps widened, backfill coverage invalidated — next gate pass rewinds with the widened script set
05:43:48 [DefaultDispatcher-worker-11] SdkWalletBinder - DashPay contact coverage: not determinable on 65384bdf… (syncedHeight=1556565, receivedContactFloor=null, contacts=0)
05:44:50 [DefaultDispatcher-worker-2] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:44:50 [DefaultDispatcher-worker-2] SdkWalletBinder - DashPay contact coverage OK on 65384bdf…: scan at 1556565 is at or below the earliest received contact height 1556565 (1 contact request(s))
05:45:52 [DefaultDispatcher-worker-8] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:45:52 [DefaultDispatcher-worker-8] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556566 but the earliest received contact request sits at core height 1556565 (1 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:46:54 [DefaultDispatcher-worker-12] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:46:54 [DefaultDispatcher-worker-12] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556568 but the earliest received contact request sits at core height 1556565 (3 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:47:57 [DefaultDispatcher-worker-11] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:47:57 [DefaultDispatcher-worker-11] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556568 but the earliest received contact request sits at core height 1556565 (3 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:48:59 [DefaultDispatcher-worker-5] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:48:59 [DefaultDispatcher-worker-5] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556568 but the earliest received contact request sits at core height 1556565 (3 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:50:01 [DefaultDispatcher-worker-13] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:50:01 [DefaultDispatcher-worker-12] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556570 but the earliest received contact request sits at core height 1556565 (5 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:51:03 [DefaultDispatcher-worker-6] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:51:03 [DefaultDispatcher-worker-6] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556570 but the earliest received contact request sits at core height 1556565 (5 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:52:05 [DefaultDispatcher-worker-1] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:52:05 [DefaultDispatcher-worker-10] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556570 but the earliest received contact request sits at core height 1556565 (5 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:53:08 [DefaultDispatcher-worker-15] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:53:08 [DefaultDispatcher-worker-15] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556570 but the earliest received contact request sits at core height 1556565 (5 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:54:06 [DefaultDispatcher-worker-9] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:54:06 [DefaultDispatcher-worker-9] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556571 but the earliest received contact request sits at core height 1556565 (6 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:54:23 [DefaultDispatcher-worker-13] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:54:23 [DefaultDispatcher-worker-13] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556571 but the earliest received contact request sits at core height 1556565 (6 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:55:21 [DefaultDispatcher-worker-7] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:55:21 [DefaultDispatcher-worker-7] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556572 but the earliest received contact request sits at core height 1556565 (7 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:56:29 [DefaultDispatcher-worker-8] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:56:29 [DefaultDispatcher-worker-8] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556572 but the earliest received contact request sits at core height 1556565 (7 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:57:00 [DefaultDispatcher-worker-16] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:57:00 [DefaultDispatcher-worker-16] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556572 but the earliest received contact request sits at core height 1556565 (7 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:58:08 [DefaultDispatcher-worker-9] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:58:08 [DefaultDispatcher-worker-9] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556573 but the earliest received contact request sits at core height 1556565 (8 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:58:25 [DefaultDispatcher-worker-16] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:58:25 [DefaultDispatcher-worker-16] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556573 but the earliest received contact request sits at core height 1556565 (8 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
05:59:29 [DefaultDispatcher-worker-5] SdkWalletBinder - DashPay receival-account coverage on 65384bdf…: channelsWePublished=1, receivalAccounts=1, dark=0 — a dark contact's receiving addresses are in no watched script set (permanently-dark candidate under the SDK's re-enqueue asymmetry)
05:59:29 [DefaultDispatcher-worker-5] SdkWalletBinder - DashPay contact coverage DEBT on 65384bdf…: the filter scan is at 1556573 but the earliest received contact request sits at core height 1556565 (8 blocks below, 1 contact request(s)). Payments to those chains were scanned past. This is reported, not repaired — see §17 of the upgrade memory and sync plan
