Date and Time,Transaction Type,Sent Quantity,Sent Currency,Sending Source,Received Quantity,Received Currency,Receiving Destination,Fee,Fee Currency,Exchange Transaction ID,Blockchain Transaction Hash
2026-09-19T16:51:38Z,Income,,DASH,DASH Wallet,1.00,DASH,DASH Wallet,,,,057b1808741470e8f084aeee2fa377934366d9d06e80477cd2f1ff8a3574410b
2026-09-19T16:57:01Z,Expense,0.01000226,DASH,DASH Wallet,,DASH,DASH Wallet,,,,aa659fc9ab82b67a6741e3e88db4fa1e3ef45de3360d33a77e9b0db872854ccc
